Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1,1,1,0,0,18,4,12.75,0,0.0,Dropout
1,0,1,0,0,22,5,14.8,5,15.8,Graduate
1,0,1,0,0,22,5,13.928,7,14.342857142857142,Graduate
17,0,0,0,0,20,4,13.0,5,13.8,Dropout
39,0,1,0,0,29,0,0.0,0,0.0,Dropout
17,0,1,0,0,18,6,11.666666666666666,5,13.2,Graduate
17,0,1,0,1,22,6,13.516666666666666,7,13.771428571428572,Graduate
44,0,1,0,1,21,6,11.5,6,13.285714285714286,Graduate
1,0,1,0,1,19,5,12.333333333333334,6,12.833333333333334,Graduate
39,0,1,0,1,24,6,13.666666666666666,6,14.166666666666666,Graduate
1,0,1,0,0,19,5,14.714285714285714,5,15.8,Graduate
39,0,1,0,0,27,5,10.6,5,11.0,Dropout
1,0,1,0,0,18,7,13.044444444444444,8,13.595,Graduate
7,0,1,0,0,39,0,0.0,0,0.0,Dropout
39,0,1,0,0,27,5,13.0,10,12.9,Dropout
17,0,1,0,0,18,8,14.935,8,14.935,Graduate
1,0,1,0,0,18,6,13.133333333333333,7,12.221428571428572,Graduate
44,0,1,0,1,21,6,12.0,6,12.0,Graduate
42,0,1,1,0,29,5,11.9,5,11.0,Dropout
1,0,1,1,1,19,0,0.0,0,0.0,Graduate
44,0,1,1,0,23,6,12.571428571428571,6,12.428571428571429,Graduate
1,1,1,1,0,19,5,11.2,4,10.75,Dropout
17,0,1,1,0,24,7,11.975,8,13.75,Graduate
1,0,1,1,0,19,0,0.0,0,0.0,Dropout
17,0,1,1,0,18,3,11.666666666666666,1,12.0,Dropout
1,0,1,1,0,18,6,12.333333333333334,3,12.333333333333334,Graduate
17,1,1,1,0,18,3,10.333333333333334,3,10.857142857142858,Dropout
18,0,1,1,1,21,4,10.5,1,11.0,Dropout
17,1,1,1,1,19,6,13.666666666666666,6,13.333333333333334,Graduate
17,0,1,1,1,22,7,14.842857142857142,8,15.055555555555555,Graduate
39,0,1,1,0,33,6,12.0,6,11.666666666666666,Graduate
1,0,1,1,0,20,5,12.2,5,12.2,Dropout
39,0,1,1,0,35,0,0.0,0,0.0,Dropout
39,1,1,1,0,24,6,12.166666666666666,10,13.3,Dropout
39,0,1,0,0,33,6,11.0,5,11.0,Graduate
42,0,1,0,1,22,7,13.08,7,13.08,Graduate
39,0,1,0,1,25,4,10.5,5,11.6,Graduate
17,0,1,1,0,20,6,10.666666666666666,5,11.2,Graduate
39,0,1,1,0,24,0,0.0,0,0.0,Dropout
17,0,0,0,0,21,6,14.0,6,13.5,Graduate
15,0,1,0,0,26,2,12.0,0,0.0,Dropout
39,0,1,0,0,39,3,12.666666666666666,0,0.0,Dropout
39,0,1,0,0,44,8,11.875,6,12.333333333333334,Graduate
1,0,1,0,0,18,6,13.666666666666666,6,13.333333333333334,Graduate
1,0,1,0,1,18,7,13.75,8,14.47777777777778,Graduate
1,1,0,0,0,19,4,11.96,0,0.0,Dropout
53,0,1,0,0,21,8,12.875,5,13.4,Dropout
1,0,1,0,0,20,0,0.0,0,0.0,Graduate
39,0,1,0,0,36,0,0.0,0,0.0,Dropout
39,0,1,0,0,43,18,14.63157894736842,13,14.23076923076923,Graduate
18,0,1,0,0,19,0,0.0,0,0.0,Dropout
51,1,1,0,0,20,10,13.0,11,12.272727272727272,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
1,0,1,0,0,20,4,14.2,4,13.25,Dropout
1,0,1,0,0,20,6,13.266666666666666,5,12.3,Dropout
1,0,1,0,0,18,6,13.857142857142858,6,15.0,Graduate
1,0,1,0,0,19,5,13.4,5,12.8,Graduate
1,0,1,0,0,18,6,12.666666666666666,6,12.571428571428571,Graduate
17,0,1,0,0,18,6,12.516666666666666,6,12.516666666666666,Dropout
1,0,1,0,0,18,5,13.142857142857142,5,11.4,Graduate
1,0,1,0,0,18,5,12.6,5,14.0,Graduate
17,0,1,0,0,21,3,11.0,2,11.0,Dropout
1,0,1,0,0,19,5,10.8,4,11.25,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
1,0,1,0,1,19,5,12.8,5,14.2,Graduate
1,0,1,0,0,19,6,14.166666666666666,6,12.2,Graduate
17,0,1,0,0,19,5,12.1,0,0.0,Dropout
44,0,1,0,0,20,6,14.166666666666666,5,13.77777777777778,Graduate
17,0,1,0,0,18,6,13.0,6,13.666666666666666,Graduate
17,0,1,0,0,19,7,13.467142857142855,8,15.011111111111113,Graduate
1,0,1,0,1,18,7,13.2375,7,13.742857142857144,Dropout
17,0,1,0,0,18,6,12.333333333333334,6,13.0,Graduate
1,0,1,0,0,19,5,12.4,5,14.6,Graduate
17,0,1,0,0,19,5,14.0,0,0.0,Dropout
43,0,1,0,0,20,9,11.666666666666666,7,11.714285714285714,Graduate
1,1,0,0,1,19,5,12.0,4,12.5,Dropout
17,0,1,0,0,20,4,12.2,4,11.5,Graduate
1,1,1,0,1,18,6,14.833333333333334,6,14.833333333333334,Graduate
18,0,1,0,0,18,7,17.125,8,17.5875,Graduate
1,0,1,0,0,19,6,12.666666666666666,6,12.666666666666666,Graduate
1,0,1,0,1,19,6,12.666666666666666,5,12.0,Graduate
1,0,1,0,1,19,6,11.333333333333334,6,11.5,Graduate
1,0,1,0,1,19,7,13.605,8,12.33125,Graduate
17,0,1,0,1,19,5,12.0,5,10.8,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
17,0,1,0,0,20,5,11.2,3,11.666666666666666,Dropout
1,0,1,0,0,18,5,13.375,5,14.166666666666666,Graduate
1,0,1,0,1,20,6,13.863333333333337,7,14.178571428571429,Graduate
1,0,1,0,0,19,5,12.4,5,13.4,Graduate
1,0,1,0,0,18,6,13.333333333333334,5,11.8,Graduate
43,0,1,0,0,21,3,12.666666666666666,3,10.0,Dropout
1,0,1,0,0,19,6,12.0,4,11.5,Dropout
1,0,1,0,1,18,5,10.6,5,11.8,Graduate
17,0,1,0,1,18,6,12.25,6,11.857142857142858,Graduate
1,0,1,0,0,20,4,11.0,6,11.833333333333334,Graduate
39,0,1,0,1,24,5,11.0,5,12.6,Graduate
1,0,1,0,0,19,6,13.166666666666666,6,13.0,Dropout
1,0,1,0,1,18,7,12.855555555555554,7,12.761111111111113,Graduate
1,0,1,0,0,18,7,14.91875,8,15.355,Graduate
17,0,1,0,0,21,4,11.5,3,11.0,Dropout
17,0,1,0,0,19,5,14.2,5,14.2,Graduate
17,0,1,0,1,19,6,12.5,6,13.0,Graduate
17,0,1,0,0,19,5,11.666666666666666,4,11.0,Graduate
39,0,1,0,0,29,7,14.257142857142856,7,14.257142857142856,Graduate
43,0,1,0,0,21,3,12.0,2,11.333333333333334,Dropout
17,0,1,0,0,20,7,12.457142857142856,8,13.5625,Graduate
17,0,1,0,0,19,6,11.683333333333332,6,11.683333333333332,Graduate
42,0,1,0,0,26,3,11.666666666666666,5,12.0,Graduate
17,1,0,0,0,20,4,11.75,6,13.166666666666666,Dropout
39,0,1,0,0,27,5,13.2,5,12.0,Graduate
1,0,1,0,0,20,4,11.95,4,11.95,Dropout
1,0,1,0,0,18,5,12.4,5,10.4,Dropout
7,0,1,0,0,33,6,14.35,6,14.583333333333334,Dropout
43,0,1,0,0,35,21,12.61904761904762,19,12.789473684210526,Graduate
39,1,0,0,0,27,5,12.0,0,0.0,Dropout
18,0,0,0,0,19,6,12.166666666666666,0,0.0,Dropout
17,0,1,0,0,20,0,0.0,0,0.0,Dropout
18,1,0,0,0,20,3,10.0,3,10.571428571428571,Dropout
17,0,1,0,1,18,6,13.05,6,13.05,Graduate
39,0,1,0,0,24,2,11.0,0,0.0,Dropout
17,0,1,0,0,20,6,11.5,6,12.0,Graduate
1,0,1,0,1,21,6,12.0,6,12.5,Graduate
39,0,1,0,0,24,0,0.0,0,0.0,Dropout
51,0,1,0,0,21,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,7,12.242857142857144,7,12.242857142857144,Graduate
39,0,1,0,0,27,0,0.0,0,0.0,Dropout
18,0,1,0,0,18,8,12.93375,8,12.93375,Graduate
7,0,1,0,0,35,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,7,12.571428571428571,7,14.428571428571429,Graduate
1,0,1,0,0,19,4,13.75,4,14.333333333333334,Graduate
1,0,1,0,0,20,6,11.166666666666666,6,11.333333333333334,Graduate
1,0,1,0,0,18,7,12.324285714285711,7,12.324285714285711,Graduate
44,1,1,0,0,21,6,12.166666666666666,6,11.714285714285714,Graduate
17,0,1,0,1,18,5,11.142857142857142,4,11.25,Graduate
1,0,1,0,0,18,4,11.0,4,10.75,Graduate
1,0,1,0,0,18,7,12.914285714285713,7,12.914285714285713,Graduate
1,0,1,0,1,18,6,13.833333333333334,6,14.166666666666666,Graduate
1,0,1,0,0,19,6,13.857142857142858,5,13.4,Graduate
39,0,1,0,1,36,6,13.714285714285714,5,12.8,Dropout
1,0,1,0,1,18,7,12.642857142857142,7,12.642857142857142,Graduate
1,0,1,0,1,18,6,12.916666666666666,6,12.916666666666666,Graduate
43,0,1,0,1,20,6,15.625,6,15.857142857142858,Graduate
39,0,1,0,1,26,0,0.0,0,0.0,Dropout
43,0,1,0,0,21,6,11.714285714285714,6,12.0,Graduate
18,0,1,0,1,19,5,11.6,5,11.6,Graduate
39,0,1,0,0,24,1,10.0,0,0.0,Dropout
39,0,1,0,1,27,1,10.0,0,0.0,Dropout
17,0,1,0,0,21,0,0.0,2,13.5,Dropout
1,0,1,0,1,18,4,13.0,3,12.333333333333334,Graduate
1,0,1,0,1,19,6,13.333333333333334,6,14.5,Graduate
1,0,1,0,0,18,4,11.25,2,12.5,Dropout
51,0,1,0,1,19,5,13.85,7,12.19285714285714,Graduate
18,0,1,0,1,19,6,13.741666666666667,7,14.9125,Graduate
7,0,1,0,0,33,6,15.333333333333334,5,15.8,Graduate
7,0,1,0,0,45,5,11.0,5,13.8,Graduate
1,0,1,0,1,20,6,12.0,6,12.857142857142858,Graduate
39,0,1,0,0,28,0,0.0,0,0.0,Dropout
43,0,1,0,1,19,7,11.571428571428571,7,11.571428571428571,Graduate
1,0,1,0,0,18,6,12.857142857142858,3,12.666666666666666,Graduate
39,0,1,0,0,38,0,0.0,0,0.0,Dropout
1,0,1,0,0,19,5,13.0,5,13.2,Graduate
1,0,1,0,1,21,5,11.0,5,12.0,Graduate
1,0,1,0,0,21,3,12.0,1,15.0,Dropout
1,0,1,0,1,22,5,12.6,6,13.0,Graduate
1,0,1,0,1,18,5,13.4,6,13.166666666666666,Graduate
17,0,1,0,1,18,6,11.333333333333334,6,11.571428571428571,Graduate
1,0,0,0,0,25,4,13.5,4,14.25,Dropout
39,1,0,0,0,24,3,11.75,3,10.333333333333334,Dropout
1,0,1,0,1,20,5,11.6,5,13.6,Graduate
39,0,0,0,0,25,0,0.0,0,0.0,Dropout
1,0,1,0,1,20,9,12.9,10,12.363636363636363,Graduate
7,0,1,0,0,23,8,13.22,8,13.22,Graduate
17,0,1,0,1,19,7,13.151428571428571,7,13.151428571428571,Graduate
44,1,0,0,0,29,3,12.75,3,11.333333333333334,Dropout
1,0,1,0,0,21,6,11.333333333333334,4,12.25,Graduate
1,0,1,0,1,18,6,13.25,5,14.142857142857142,Graduate
1,0,1,0,1,18,6,15.0,6,12.833333333333334,Dropout
1,0,1,0,0,19,5,14.4,5,13.0,Graduate
17,0,1,0,0,18,5,12.4,5,10.8,Graduate
39,1,0,0,1,37,1,16.0,0,0.0,Dropout
17,0,1,0,0,29,5,13.571428571428571,5,12.333333333333334,Graduate
1,0,1,0,1,19,5,11.666666666666666,5,12.666666666666666,Graduate
43,1,0,0,0,22,6,11.833333333333334,2,13.0,Dropout
1,0,1,0,1,20,6,11.166666666666666,5,10.6,Graduate
39,0,1,0,0,34,0,0.0,0,0.0,Dropout
43,1,0,0,0,30,8,11.75,6,12.166666666666666,Dropout
1,0,1,0,0,18,6,14.0,6,14.0,Graduate
1,0,1,0,0,18,6,12.833333333333334,6,12.0,Graduate
1,0,1,0,0,18,4,12.25,3,11.666666666666666,Graduate
17,0,1,0,0,18,7,14.828571428571427,7,14.828571428571427,Graduate
1,0,1,0,1,19,5,11.4,5,12.8,Graduate
1,0,1,0,1,19,6,13.0,6,12.5,Graduate
1,0,1,0,1,18,7,13.671428571428573,7,13.671428571428573,Graduate
44,0,1,0,1,21,6,12.666666666666666,5,12.8,Graduate
1,0,0,0,0,20,2,10.0,1,13.0,Dropout
17,0,1,0,0,20,5,13.5,5,12.333333333333334,Graduate
1,0,1,0,0,19,7,12.67,8,13.55,Graduate
1,0,1,0,0,20,6,14.5,6,15.428571428571429,Graduate
17,0,1,0,0,18,7,13.685714285714283,8,15.3875,Graduate
42,0,1,0,0,20,5,11.0,3,10.666666666666666,Dropout
7,1,0,0,0,29,7,11.555555555555555,5,13.2,Dropout
1,0,1,0,1,20,7,14.00375,7,13.812857142857142,Graduate
16,0,1,0,1,22,4,12.0,4,11.4,Graduate
1,0,1,0,1,47,5,14.166666666666666,6,14.166666666666666,Graduate
51,0,1,0,0,31,5,14.0,5,13.8,Graduate
1,0,1,0,1,21,5,13.8,6,12.833333333333334,Graduate
1,0,1,0,0,21,5,12.8,6,11.857142857142858,Graduate
39,0,1,0,0,24,6,12.166666666666666,6,13.833333333333334,Graduate
39,0,1,0,0,32,4,12.0,4,11.5,Graduate
18,0,1,0,1,19,6,10.833333333333334,6,11.5,Graduate
39,0,1,0,0,24,8,13.385,8,13.385,Graduate
17,0,1,0,0,19,6,15.666666666666666,6,14.5,Graduate
44,1,1,0,1,19,6,14.333333333333334,6,13.833333333333334,Graduate
17,0,1,0,1,18,6,11.666666666666666,6,11.666666666666666,Graduate
1,0,1,0,1,19,5,12.0,2,11.333333333333334,Dropout
1,0,1,0,1,19,7,14.725714285714288,7,14.725714285714288,Graduate
17,0,1,0,1,18,6,14.166666666666666,6,13.666666666666666,Graduate
1,0,1,0,0,18,6,11.571428571428571,6,12.333333333333334,Graduate
17,0,1,0,0,20,7,12.5,8,13.1375,Graduate
1,0,1,0,0,18,8,12.86,8,12.86,Graduate
17,0,1,0,0,18,6,12.25,6,13.714285714285714,Graduate
1,0,1,0,1,21,4,12.0,5,12.2,Graduate
1,0,1,0,1,18,7,15.116666666666667,8,16.168888888888887,Graduate
51,1,0,0,0,18,2,12.5,4,10.25,Dropout
17,0,1,0,0,19,0,0.0,0,0.0,Dropout
17,0,1,0,0,18,6,11.875,4,14.6,Graduate
39,0,1,0,0,34,1,11.0,0,0.0,Dropout
1,0,1,0,0,19,5,15.2,5,13.2,Graduate
44,1,0,0,0,19,5,11.6,2,11.0,Dropout
51,1,1,0,0,26,6,14.833333333333334,6,15.142857142857142,Graduate
17,0,1,0,0,21,3,11.333333333333334,3,11.333333333333334,Dropout
17,0,1,0,1,18,5,11.2,5,11.8,Graduate
17,0,1,0,1,20,5,13.4,5,13.666666666666666,Graduate
51,0,1,0,0,25,2,10.5,0,0.0,Dropout
1,0,1,0,0,18,5,16.2,5,16.4,Graduate
1,0,1,0,1,18,7,14.542857142857144,8,14.88181818181818,Graduate
1,0,1,0,0,19,7,13.694285714285714,8,14.355555555555554,Graduate
1,0,1,0,1,18,6,11.285714285714286,6,11.857142857142858,Graduate
7,1,0,0,0,26,0,0.0,0,0.0,Dropout
42,0,1,0,1,19,7,13.058571428571428,7,13.058571428571428,Graduate
1,0,1,0,0,19,7,14.3,8,14.055555555555555,Graduate
43,0,1,0,0,19,5,11.8,8,12.0,Graduate
1,0,1,0,0,18,6,10.571428571428571,3,11.666666666666666,Graduate
43,0,1,0,0,19,6,13.333333333333334,6,13.333333333333334,Graduate
1,1,1,0,0,18,6,11.857142857142858,5,11.0,Graduate
44,1,1,0,0,26,0,0.0,0,0.0,Dropout
1,0,1,0,0,20,6,12.0,6,13.0,Graduate
1,0,1,0,0,19,6,12.666666666666666,6,11.666666666666666,Graduate
1,0,1,0,1,18,6,12.166666666666666,6,13.666666666666666,Graduate
44,0,1,0,0,19,6,13.333333333333334,6,14.666666666666666,Graduate
7,1,1,0,0,40,7,15.0,7,14.571428571428571,Graduate
1,0,1,0,1,18,8,13.39125,8,13.39125,Graduate
17,0,1,0,0,19,5,12.166666666666666,6,12.428571428571429,Graduate
17,0,1,0,0,18,4,11.25,4,12.5,Graduate
1,0,1,0,0,18,0,0.0,0,0.0,Dropout
39,0,1,0,0,33,6,12.833333333333334,6,12.857142857142858,Graduate
39,0,1,0,0,35,6,14.0,6,13.1,Graduate
1,0,1,0,0,18,6,13.5,6,12.5,Graduate
39,0,1,0,0,39,5,11.0,5,11.666666666666666,Graduate
39,0,1,0,0,44,6,13.0,6,13.833333333333334,Graduate
1,0,1,0,0,24,4,12.6,4,11.5,Dropout
43,0,1,0,1,20,6,13.666666666666666,6,13.333333333333334,Graduate
1,0,0,0,0,19,0,0.0,0,0.0,Dropout
1,1,1,0,1,18,6,14.2,6,14.2,Graduate
1,1,0,0,0,22,5,11.0,0,0.0,Dropout
17,0,1,0,0,18,6,15.0,6,16.428571428571427,Graduate
39,0,1,0,0,24,6,12.585714285714284,7,13.44285714285714,Graduate
39,0,1,0,0,33,0,0.0,0,0.0,Dropout
39,0,1,0,0,26,0,0.0,0,0.0,Dropout
17,0,1,0,0,18,6,11.666666666666666,6,11.833333333333334,Graduate
1,1,1,0,0,19,3,12.666666666666666,2,10.0,Dropout
53,0,1,0,1,22,8,13.5,7,13.714285714285714,Graduate
1,0,1,0,1,21,6,16.153846153846153,6,15.75,Graduate
1,0,1,0,1,21,6,14.033333333333331,6,14.033333333333331,Graduate
1,0,1,0,1,19,7,13.857142857142858,6,13.666666666666666,Graduate
1,0,1,0,0,18,7,13.414285714285716,7,13.414285714285716,Dropout
43,0,1,0,0,50,11,13.545454545454543,7,13.571428571428571,Graduate
17,0,1,0,1,19,6,13.833333333333334,6,14.428571428571429,Graduate
39,0,1,0,0,35,5,12.0,5,12.857142857142858,Graduate
39,0,1,0,0,31,0,0.0,0,0.0,Dropout
18,0,0,0,0,34,0,0.0,0,0.0,Dropout
1,0,1,0,1,18,7,15.135714285714286,8,15.287499999999998,Graduate
39,0,1,0,1,26,5,12.74,6,10.978571428571428,Dropout
1,0,1,0,1,19,6,13.428571428571429,6,13.166666666666666,Graduate
53,0,1,0,0,20,9,12.555555555555555,8,11.11111111111111,Graduate
1,0,1,0,0,19,6,11.5,6,11.166666666666666,Graduate
1,0,1,0,0,18,6,13.666666666666666,6,12.333333333333334,Graduate
39,0,1,0,0,28,11,11.272727272727272,10,12.0,Graduate
44,0,1,0,1,21,6,14.666666666666666,6,14.166666666666666,Graduate
1,1,0,0,0,18,5,13.0,5,11.4,Dropout
17,0,0,0,0,20,2,10.5,2,12.333333333333334,Dropout
17,0,1,0,0,18,6,14.857142857142858,6,14.0,Graduate
1,0,1,0,1,19,7,12.86,7,12.86,Graduate
51,0,1,0,0,20,11,11.727272727272728,11,12.0,Graduate
44,0,1,0,1,22,6,13.142857142857142,3,12.0,Graduate
17,1,1,0,0,18,5,11.8,4,13.714285714285714,Dropout
17,0,1,0,0,19,3,10.666666666666666,0,0.0,Dropout
17,0,1,0,0,19,7,14.731428571428571,7,14.731428571428571,Graduate
1,0,1,0,0,18,0,0.0,0,0.0,Graduate
7,0,1,0,0,21,13,13.615384615384617,12,14.25,Graduate
39,0,1,0,0,27,5,15.8,5,14.8,Graduate
17,0,1,0,0,19,6,14.666666666666666,6,14.571428571428571,Graduate
39,0,1,0,0,25,0,0.0,0,0.0,Dropout
1,0,1,0,1,18,7,14.654285714285717,7,14.654285714285717,Graduate
39,0,1,0,0,24,7,12.401428571428571,7,12.401428571428571,Graduate
1,0,1,0,0,20,7,11.5875,7,14.071428571428571,Graduate
7,0,1,0,0,26,5,14.0,5,15.6,Graduate
1,0,1,0,1,20,6,12.333333333333334,6,11.833333333333334,Graduate
1,0,1,0,0,18,5,14.0,5,15.4,Graduate
1,0,1,0,0,19,6,15.23076923076923,6,12.375,Graduate
1,0,1,0,0,23,5,11.6,3,11.0,Dropout
1,0,1,0,1,18,6,11.6,6,11.6,Graduate
1,0,1,0,0,18,0,0.0,0,0.0,Dropout
1,0,1,0,1,19,7,12.901428571428571,8,13.094444444444443,Graduate
42,0,1,0,0,30,7,14.142857142857142,5,14.8,Graduate
44,0,1,0,0,29,0,0.0,0,0.0,Dropout
1,0,1,0,0,19,8,13.25375,8,13.25375,Graduate
17,0,1,0,0,20,7,13.785714285714286,8,14.1,Graduate
1,0,1,0,0,20,6,13.916666666666666,6,13.916666666666666,Graduate
1,0,1,0,0,19,6,13.5,6,13.571428571428571,Graduate
1,0,1,0,0,21,0,0.0,0,0.0,Dropout
17,0,1,0,0,19,5,11.5,4,14.6,Graduate
1,0,1,0,1,18,7,12.082857142857142,7,12.082857142857142,Graduate
39,0,1,0,1,27,6,11.833333333333334,5,12.8,Graduate
17,0,1,0,1,19,5,13.4,5,12.4,Graduate
1,0,1,0,1,19,0,0.0,0,0.0,Dropout
1,0,1,0,0,19,5,14.2,6,14.571428571428571,Graduate
1,0,1,0,1,18,7,13.814285714285717,7,13.814285714285717,Graduate
1,0,1,0,1,18,6,14.5,6,13.666666666666666,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
39,0,1,0,0,36,6,11.3,6,11.3,Graduate
17,0,1,0,0,19,7,12.3,7,12.3,Graduate
1,0,1,0,1,18,7,12.694285714285714,7,12.694285714285714,Graduate
17,0,1,0,0,18,4,11.0,4,11.0,Graduate
1,0,1,0,1,19,6,13.0,6,14.166666666666666,Graduate
1,0,1,0,1,19,7,14.4125,8,16.05,Graduate
1,0,1,0,0,18,7,12.92875,8,14.0625,Dropout
1,0,1,0,0,20,6,13.333333333333334,5,12.8,Graduate
18,0,1,0,0,20,7,14.402857142857142,7,14.402857142857142,Graduate
1,0,1,0,1,18,7,13.381428571428572,7,13.381428571428572,Graduate
1,0,1,0,0,18,7,14.13125,8,13.98375,Graduate
17,0,1,0,0,19,5,11.714285714285714,5,12.6,Graduate
39,0,1,0,0,44,6,11.166666666666666,2,11.0,Graduate
7,0,1,0,0,32,0,0.0,0,0.0,Dropout
43,0,1,0,0,22,5,13.6,5,12.0,Dropout
39,0,1,0,0,36,12,13.846153846153848,11,14.090909090909092,Graduate
17,0,1,0,1,18,6,12.5,6,13.333333333333334,Graduate
1,0,1,0,0,20,5,16.4,5,14.6,Graduate
51,0,1,0,1,20,11,13.818181818181818,11,13.454545454545457,Graduate
17,0,1,0,0,19,5,10.6,4,10.5,Graduate
39,1,1,0,0,24,5,10.2,5,12.2,Graduate
43,0,1,0,0,27,9,11.444444444444445,5,10.8,Dropout
43,0,1,0,1,23,16,13.0,13,13.266666666666667,Graduate
1,0,1,0,1,18,8,13.31,8,13.31,Graduate
17,0,1,0,1,18,5,10.571428571428571,5,12.2,Graduate
17,0,1,0,1,20,7,13.487142857142857,7,13.487142857142857,Graduate
1,0,1,0,1,20,6,12.333333333333334,6,11.833333333333334,Graduate
1,0,1,0,0,23,6,11.875,5,12.833333333333334,Dropout
1,0,1,0,0,20,6,13.966666666666669,6,13.966666666666669,Graduate
39,0,0,0,0,28,0,0.0,0,0.0,Dropout
1,0,1,0,0,21,4,11.5,5,12.8,Graduate
1,0,1,0,0,21,2,12.5,0,0.0,Dropout
7,0,1,0,0,28,0,0.0,0,0.0,Dropout
1,0,1,0,0,18,6,11.98,7,13.225,Graduate
1,0,1,0,0,19,6,11.614285714285714,8,14.0375,Graduate
18,0,1,0,1,18,7,14.314285714285717,7,14.314285714285717,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
1,0,1,0,1,20,6,12.766666666666666,7,12.128571428571428,Graduate
17,0,1,0,1,18,6,12.666666666666666,5,12.2,Graduate
43,0,1,0,0,20,6,11.5,4,10.571428571428571,Dropout
39,0,1,0,0,31,5,11.4,4,11.75,Dropout
17,0,1,0,1,19,7,14.70625,8,14.4775,Graduate
1,0,1,0,1,19,6,11.814285714285717,7,13.542857142857144,Graduate
1,0,1,0,0,23,6,13.0,6,11.875,Graduate
1,0,1,0,0,19,6,14.857142857142858,6,13.333333333333334,Graduate
1,0,1,0,0,20,6,12.6,6,12.6,Graduate
7,1,0,0,0,27,2,11.5,1,11.0,Dropout
39,0,1,0,0,29,1,10.0,0,0.0,Dropout
17,0,1,0,0,18,5,11.8,5,12.2,Graduate
17,0,1,0,0,18,5,11.8,6,12.666666666666666,Graduate
17,0,1,0,0,18,8,12.77125,8,12.77125,Graduate
17,0,1,0,0,18,6,12.666666666666666,5,14.6,Graduate
7,0,0,0,0,28,1,12.0,0,0.0,Dropout
1,0,1,0,1,18,7,11.721428571428572,7,11.721428571428572,Graduate
1,0,1,0,0,18,6,12.666666666666666,6,13.666666666666666,Graduate
1,0,1,0,0,18,4,13.0,5,14.0,Dropout
1,0,1,0,0,21,0,0.0,0,0.0,Dropout
39,0,0,0,0,32,0,0.0,0,0.0,Dropout
39,0,1,0,0,28,4,12.5,4,11.75,Graduate
39,0,0,0,0,40,0,0.0,0,0.0,Dropout
18,1,0,0,0,39,0,0.0,0,0.0,Dropout
18,1,0,0,0,39,0,0.0,0,0.0,Dropout
39,0,1,0,0,50,6,12.5,5,12.4,Graduate
17,0,1,0,0,23,5,12.8,3,11.666666666666666,Dropout
39,0,1,0,0,48,1,10.0,1,11.0,Dropout
